,Time,Action,Source,Destination,Service Name,Attack Name
15,0 days 10:18:26.000000000,Drop,71.6.146.130,195.8.124.232 (mail.probtp.com),UDP/11211,
23,0 days 10:18:26.000000000,Accept,31.13.112.155,195.8.124.236 (dnsweb.probtp.com),domain-udp,
24,0 days 10:18:26.000000000,Accept,31.13.112.155,195.8.124.236 (dnsweb.probtp.com),domain-udp,
25,0 days 10:18:26.000000000,Accept,31.13.112.155,195.8.124.236 (dnsweb.probtp.com),domain-udp,
38,0 days 10:18:27.000000000,Drop,71.6.216.47,185.145.76.52,UDP/623,
39,0 days 10:18:27.000000000,Accept,31.13.113.172,195.8.124.236 (dnsweb.probtp.com),domain-udp,
40,0 days 10:18:27.000000000,Accept,31.13.113.172,195.8.124.236 (dnsweb.probtp.com),domain-udp,
47,0 days 10:18:27.000000000,Drop,78.85.19.66,185.145.76.97,telnet,
79,0 days 10:18:27.000000000,Drop,71.6.216.54,185.145.76.31,UDP/623,
91,0 days 10:18:27.000000000,Drop,74.82.47.5,195.8.124.175,UDP/17,
92,0 days 10:18:27.000000000,Accept,31.13.112.158,195.8.124.236 (dnsweb.probtp.com),domain-udp,
93,0 days 10:18:27.000000000,Accept,31.13.112.158,195.8.124.236 (dnsweb.probtp.com),domain-udp,
97,0 days 10:18:27.000000000,Accept,74.125.47.10,195.8.124.236 (dnsweb.probtp.com),domain-udp,
104,0 days 10:18:28.000000000,Accept,31.7.251.154,195.8.124.236 (dnsweb.probtp.com),domain-udp,
113,0 days 10:18:28.000000000,Accept,77.136.85.176,195.8.124.219 (sync.probtp.com),https,
136,0 days 10:18:28.000000000,Accept,31.7.251.154,195.8.124.236 (dnsweb.probtp.com),domain-udp,
163,0 days 10:18:28.000000000,Drop,51.68.47.188,185.145.76.76,TCP/24475,
179,0 days 10:18:29.000000000,Drop,71.6.216.39,185.145.76.240,UDP/623,
205,0 days 10:18:29.000000000,Accept,77.136.85.176,195.8.124.219 (sync.probtp.com),https,
236,0 days 10:18:30.000000000,Drop,37.170.4.244,185.145.76.138 (www.probtp.com),https,
237,0 days 10:18:30.000000000,Drop,54.192.2.30,195.8.124.30,TCP/15255,
239,0 days 10:18:30.000000000,Drop,36.74.80.11,185.145.76.223,microsoft-ds,
250,0 days 10:18:30.000000000,Drop,77.95.64.131 (vm-monitoring-1.rezopole.net),185.145.76.138 (www.probtp.com),echo-request,
259,0 days 10:18:30.000000000,Accept,72.52.101.34,195.8.124.236 (dnsweb.probtp.com),domain-udp,
307,0 days 10:18:31.000000000,Drop,31.163.140.84,185.145.76.59,telnet,
371,0 days 10:18:32.000000000,Drop,37.173.32.82,185.145.76.138 (www.probtp.com),https,
398,0 days 10:18:32.000000000,Drop,73.104.171.16,195.8.124.130,telnet,
477,0 days 10:18:34.000000000,Drop,42.0.28.120,185.145.76.1,echo-request,
482,0 days 10:18:34.000000000,Accept,77.136.85.176,195.8.124.219 (sync.probtp.com),https,
489,0 days 10:18:34.000000000,Drop,74.82.47.61,185.145.76.75,UDP/17,
515,0 days 10:18:35.000000000,Drop,5.140.246.232,195.8.124.14,telnet,
526,0 days 10:18:35.000000000,Accept,74.125.47.149,195.8.124.236 (dnsweb.probtp.com),domain-udp,
587,0 days 10:18:36.000000000,Drop,43.247.176.46,195.8.124.0,MS-SQL-Server,
715,0 days 10:18:40.000000000,Drop,5.8.88.76,195.8.124.37,TCP/60499,
771,0 days 10:18:40.000000000,Drop,74.82.47.33,185.145.76.197,UDP/17,
773,0 days 10:18:41.000000000,Drop,46.161.27.30,185.145.76.33,TCP/8545,
779,0 days 10:18:41.000000000,Accept,37.60.52.108,195.8.124.232 (mail.probtp.com),smtp,
785,0 days 10:18:41.000000000,Accept,5.39.67.151,195.8.124.236 (dnsweb.probtp.com),domain-udp,
812,0 days 10:18:41.000000000,Drop,45.248.71.25,185.145.76.243,MS-SQL-Server,
817,0 days 10:18:41.000000000,Drop,71.6.216.38,195.8.124.3,UDP/623,
838,0 days 10:18:41.000000000,Accept,37.58.139.92,195.8.124.236 (dnsweb.probtp.com),domain-udp,
846,0 days 10:18:41.000000000,Drop,46.161.27.30,185.145.76.58,TCP/8545,
852,0 days 10:18:41.000000000,Accept,37.58.139.92,195.8.124.236 (dnsweb.probtp.com),domain-udp,
861,0 days 10:18:41.000000000,Accept,37.58.139.92,195.8.124.236 (dnsweb.probtp.com),domain-udp,
891,0 days 10:18:42.000000000,Accept,5.149.186.61,195.8.124.236 (dnsweb.probtp.com),domain-udp,
902,0 days 10:18:42.000000000,Drop,5.8.54.27,195.8.124.54 (CACPOER1),tcp_8088,
906,0 days 10:18:42.000000000,Accept,54.201.254.212,195.8.124.236 (dnsweb.probtp.com),domain-udp,
908,0 days 10:18:42.000000000,Accept,54.201.254.212,195.8.124.236 (dnsweb.probtp.com),domain-udp,
912,0 days 10:18:42.000000000,Drop,31.163.161.110,185.145.76.98 (espace-personnel.agirc-arrco.fr),telnet,
923,0 days 10:18:42.000000000,Drop,5.189.136.127,185.145.76.50,TCP/8545,
